Date,Close
3/3/2015 16:00:00,41.51
3/4/2015 16:00:00,41.8
3/5/2015 16:00:00,42.07
3/6/2015 16:00:00,41.6
3/9/2015 16:00:00,41.42
3/10/2015 16:00:00,40.52
3/11/2015 16:00:00,41.85
3/12/2015 16:00:00,42.11
3/13/2015 16:00:00,42.12
3/16/2015 16:00:00,43.32
3/17/2015 16:00:00,42.85
3/18/2015 16:00:00,41.7
3/19/2015 16:00:00,41.36
3/20/2015 16:00:00,42.05
3/23/2015 16:00:00,41.38
3/24/2015 16:00:00,41.79
3/25/2015 16:00:00,41.59
3/26/2015 16:00:00,42.28
3/27/2015 16:00:00,42.21
3/30/2015 16:00:00,42.09
3/31/2015 16:00:00,41.47
4/1/2015 16:00:00,41.54
4/2/2015 16:00:00,41.71
4/6/2015 16:00:00,42.22
4/7/2015 16:00:00,41.35
4/8/2015 16:00:00,40.8
4/9/2015 16:00:00,41.35
4/10/2015 16:00:00,41.53
4/13/2015 16:00:00,40.78
4/14/2015 16:00:00,40.99
4/15/2015 16:00:00,41.08
4/16/2015 16:00:00,40.36
4/17/2015 16:00:00,39.63
4/20/2015 16:00:00,39.91
4/21/2015 16:00:00,40.15
4/22/2015 16:00:00,39.46
4/23/2015 16:00:00,39.98
4/24/2015 16:00:00,39.95
4/27/2015 16:00:00,40.81
4/28/2015 16:00:00,40.26
4/29/2015 16:00:00,39.66
4/30/2015 16:00:00,39.43
5/1/2015 16:00:00,39.9
5/4/2015 16:00:00,39.56
5/5/2015 16:00:00,39.65
5/6/2015 16:00:00,39.2
5/7/2015 16:00:00,39.33
5/8/2015 16:00:00,40.82
5/11/2015 16:00:00,39.48
5/12/2015 16:00:00,38.82
5/13/2015 16:00:00,38.57
5/14/2015 16:00:00,39.8
5/15/2015 16:00:00,39.09
5/18/2015 16:00:00,38.92
5/19/2015 16:00:00,39.67
5/20/2015 16:00:00,39.38
5/21/2015 16:00:00,39.05
5/22/2015 16:00:00,38.5
5/26/2015 16:00:00,37.57
5/27/2015 16:00:00,38.1
5/28/2015 16:00:00,37.55
5/29/2015 16:00:00,36.83
6/1/2015 16:00:00,36.77
6/2/2015 16:00:00,37.15
6/3/2015 16:00:00,37.88
6/4/2015 16:00:00,37.31
6/5/2015 16:00:00,36.83
6/8/2015 16:00:00,36.44
6/9/2015 16:00:00,36.65
6/10/2015 16:00:00,38.02
6/11/2015 16:00:00,37.93
6/12/2015 16:00:00,37.45
6/15/2015 16:00:00,37.07
6/16/2015 16:00:00,36.82
6/17/2015 16:00:00,36.42
6/18/2015 16:00:00,37.25
6/19/2015 16:00:00,36.81
6/22/2015 16:00:00,38.5
6/23/2015 16:00:00,38.91
6/24/2015 16:00:00,38.16
6/25/2015 16:00:00,38.52
6/26/2015 16:00:00,38.57
6/29/2015 16:00:00,36.74
6/30/2015 16:00:00,36.73
7/1/2015 16:00:00,37
7/2/2015 16:00:00,36.72
7/6/2015 16:00:00,35.68
7/7/2015 16:00:00,35.33
7/8/2015 16:00:00,33.87
7/9/2015 16:00:00,34.48
7/10/2015 16:00:00,35.6
7/13/2015 16:00:00,34.84
7/14/2015 16:00:00,34.73
7/15/2015 16:00:00,33.94
7/16/2015 16:00:00,34.78
7/17/2015 16:00:00,34.6
7/20/2015 16:00:00,34.56
7/21/2015 16:00:00,34.58
7/22/2015 16:00:00,34.21
7/23/2015 16:00:00,34.09
7/24/2015 16:00:00,33.15
7/27/2015 16:00:00,32.82
7/28/2015 16:00:00,33.31
7/29/2015 16:00:00,32.86
7/30/2015 16:00:00,32.74
7/31/2015 16:00:00,33.37
8/3/2015 16:00:00,33.47
8/4/2015 16:00:00,32.91
8/5/2015 16:00:00,33.69
8/6/2015 16:00:00,33.58
8/7/2015 16:00:00,34
8/10/2015 16:00:00,34.28
8/11/2015 16:00:00,32.89
8/12/2015 16:00:00,32.41
8/13/2015 16:00:00,31.91
8/14/2015 16:00:00,31.99
8/17/2015 16:00:00,32.06
8/18/2015 16:00:00,31.46
8/19/2015 16:00:00,31.14
8/20/2015 16:00:00,30.23
8/21/2015 16:00:00,29.87
8/24/2015 16:00:00,29.77
8/25/2015 16:00:00,30.16
8/26/2015 16:00:00,31.12
8/27/2015 16:00:00,31.21
8/28/2015 16:00:00,30.92
8/31/2015 16:00:00,30.69
9/1/2015 16:00:00,29.73
9/2/2015 16:00:00,30.04
9/3/2015 16:00:00,30.19
9/4/2015 16:00:00,29.81
9/8/2015 16:00:00,31.62
9/9/2015 16:00:00,31.46
9/10/2015 16:00:00,32.45
9/11/2015 16:00:00,32.5
9/14/2015 16:00:00,32.24
9/15/2015 16:00:00,32.99
9/16/2015 16:00:00,32.99
9/17/2015 16:00:00,33.49
9/18/2015 16:00:00,32.18
9/21/2015 16:00:00,31.37
9/22/2015 16:00:00,29.8
9/23/2015 16:00:00,29.78
9/24/2015 16:00:00,29.62
9/25/2015 16:00:00,29.16
9/28/2015 16:00:00,28.54
9/29/2015 16:00:00,28.73
9/30/2015 16:00:00,29.45
10/1/2015 16:00:00,29.45
10/2/2015 16:00:00,29.54
10/5/2015 16:00:00,30.45
10/6/2015 16:00:00,30.73
10/7/2015 16:00:00,32.4
10/8/2015 16:00:00,32.81
10/9/2015 16:00:00,33.22
10/12/2015 16:00:00,33.9
10/13/2015 16:00:00,33.29
10/14/2015 16:00:00,33.12
10/15/2015 16:00:00,33.22
10/16/2015 16:00:00,32.89
10/19/2015 16:00:00,33.01
10/20/2015 16:00:00,32.99
10/21/2015 16:00:00,33.08
10/22/2015 16:00:00,33.75
10/23/2015 16:00:00,34.35
10/26/2015 16:00:00,34.17
10/27/2015 16:00:00,33.98
10/28/2015 16:00:00,34.12
10/29/2015 16:00:00,34.05
10/30/2015 16:00:00,34.1
11/2/2015 16:00:00,34.73
11/3/2015 16:00:00,34.15
11/4/2015 16:00:00,33.42
11/5/2015 16:00:00,33.63
11/6/2015 16:00:00,34.45
11/9/2015 16:00:00,34.05
11/10/2015 16:00:00,34.27
11/11/2015 16:00:00,34.28
11/12/2015 16:00:00,33.67
11/13/2015 16:00:00,33.73
11/16/2015 16:00:00,34.12
11/17/2015 16:00:00,34.1
